0,Total TROSLI2001 Lithium-Ion random orbit sander حفافة دائري شحن 5 انش بدون بطارية وشاحن,31.00 ,42.00 
0,Total TMLI2001 Lithium-Ion multi-tool 20V ماكنة متعدد بدون بطارية,23.00 ,34.00 
0,TOTAL TJSLI8501 Lithium-Ion jig saw 20V تخريقة شحن بدون بطارية,36.00 ,50.00 
0,Total TCBNLI2001 Lithium-ion cordless brad nailer kit فرد مسامير شحن 20 فولت مع 2 بطارية وشاحن,170.00 ,250.00 
0,TOTAL TMS2001 Lithium-Ion MITRE saw 20V منشار ذيل  شحن بدون بطارية,90.00 ,124.00 
0,Total TSLI1651  Lithium-Ion circular saw منشار صينية شحن 20 فولت بدون بطارية,43.50 ,58.00 
0,TOTAL TRSLI1151 Lithium-Ion reciprocating saw 20V منشار ترددي شحن بدون بطارية,44.00 ,62.00 
0,TOTAL TABLI2001 Lithium-Ion aspirator blower20V بلور شحن بدون بطارية,24.00 ,34.00 
0,Total TABLI200181 Lithium-ion blower بلور شحن 20 فولت مع بطارية وشاحن,35.00 ,48.00 
0,Total TFALI2002 Lithium-Ion fan مروحة شحن 20 فولت 11 انش بدون بطارية وشاحن,30.00 ,40.00 
0,TOTAL TFLI2001 Lithium-Ion FAN 20Vمروحة شحن  بدون بطارية,44.00 ,56.00 
0,Total TCGLI2001 Lithium-ion caulking gun فرد سيلكون شحن 20 فولت بدون بطارية وشاحن,52.00 ,72.00 
0,TOTAL TSILI2001 Lithium‑Ion Soldering Iron 20V كاوي لحام شحن بدون بطارية,9.90 ,14.75 
0,TOTAL TUCLI2001 Lithium‑Ion USB-A Charger 20V شاحن مخرج usb يعمل على بطارية,9.90 ,14.75 
0,TOTAL TGGLI2001 Lithium-Ion glue gun 20V فرد سيلكو حراري شحن بدون بطارية,10.45 ,16.90 
0,TOTAL TSGLI2001 Lithium-Ion spray gun 20V 800ml فرد رش دهان شحن بدون بطارية,27.50 ,40.00 
0,Total TJRLI2001 Lithium-lon Job Radio راديو شحن مع سماعة بلوتوث,29.00 ,36.00 
0,Total TACLI2003 Lithium-Ion air compressor كمبريسر شحن 20 فولت 6 لتر بدون بطارية وشاحن,135.00 ,190.00 
0,Total TVLI2001 Lithium‑Ion  vacuum cleaner 20V مكنسة شحن بدون بطارية,33.00 ,45.00 
0,Total TVLI2005E Lithium-Ion  vacuum cleaner مكنسة شحن 20 لتر بدون بطارية وشاحن,60.00 ,80.00 
0,TOTAL TACLI2001 Lithium-Ion auto air compressor 20V 150PSI/10BAR منفاخ هواء شحن بدون بطارية,23.00 ,34.00 
0,Total TACLI2002 Lithium-Ion auto air compressor منفاخ سيارة شحن بدون بطارية,55.00 ,79.00 
0,Total TPWLI20084 Lithium-Ion Pressure Washer مضخة غسيل سيارات شحن مع بطارية وشاحن 20 فولت,85.00 ,120.00 
0,TOTAL TFLI2002 Lithium-Ion work lamp 20V 20W كشاف شحن بدون بطارية,24.00 ,34.00 
0,Total TWLI2025 Lithium-Ion portable lamp كشاف شحن 20 فولت بدون بطارية وشاحن,22.50 ,30.00 
0,Total TLFL3501 LED floodlight كشاف ليد شحن 20 فولت,0.00 ,0.00 
0,TOTAL TWLI2001 Li-Ion Work Lamp 20V لوكس شحن بدون بطارية,18.50 ,27.00 
0,TOTAL TOC228120 Charge شحن بطارية,5.50 ,6.75 
0,Total TCLI12071 Charger Charge volts: 220V-240V~50/60Hz,4.30 ,6.75 
0,TOTAL TOBPLI228120 Li-ion Battery pack 12V بطاريه,11.00 ,15.00 
0,TOTAL TBLI12152 Li-ion Battery pack 12V 1.5Ah بطاريه,11.00 ,15.00 
0,TOTAL TBLI12151 Lithium-Ion battery pack 12V  بطارية,11.00 ,15.00 
0,TOTAL TCLI12081 Charger 12V شاحن بطارية,5.50 ,6.75 
0,TOTAL TBLI16151 Lithium-Ion battery pack 16.8V بطارية شحن,13.75 ,18.00 
0,TOTAL TCLI16071 Charger 16.8V شاحن بطارية,5.50 ,6.75 
0,درلات وهمرات,,
0,TOTAL TD4506  Electric drill 450w 6.5mm درل كهرباء,15.50 ,20.00 
0,TOTAL TD2051026 Electric drill 500W 10mm درل كهرباء,15.30 ,21.00 
0,TOTAL TD2051026-2 Electric drill 500W 10mm درل كهرباء جوزة اتوماتيك,15.50 ,22.00 
0,درل كهرباء TOTAL TG1061356 Drill 680W 13mm,17.00 ,23.00 
0,TOTAL TG109136 Impact Drill 850W 13mm درل كهرباء,25.00 ,35.00 
0,TOTAL TG111136 Impact drill 1010W 13mm درل كهرباء,33.00 ,44.00 
0,TOTAL TG111165 Impact drill 1050W 16mm درل كهرباء,52.00 ,65.00 
0,TOTAL TIW10101 Impact Wrench 1050W 1/2˝ درل بناشر كهرباء,60.00 ,70.00 
0,Total TDDM28001 Diamond Drilling Machine 2800W درل كور مع قاعدة تثقيب حتى قطر 8 انش,165.00 ,225.00 
0,"Total TAC2811021 Diamond core bits ريشة كور 4""*45 سم",48.00 ,60.00 
0,"Total TAC2811221 Diamond core bits ريشة كور 5""*45 سم",58.00 ,72.00 
0,Total THKTHP1152 115 Pcs Tools set 680w درل مع عدة,33.00 ,46.00 
0,Total THKTHP1192 119 Pcs tools set طقم درل كهرباء 680 واط + درل شحن 12 فولت مع عدة 119 قطعة,62.00 ,80.00 
